id,basename,name,year,platform,genres,critic_score,user_score
263490,rust,Rust,2018,"PC,OSX,Linux","Action-Adventure",6.1,
21779,league-of-legends,League of Legends,2009,"PC,OSX","Strategy",8,
27471,minecraft,Minecraft,2010,"PSV,3DS,X360,WiiU,PC,PS4,PS3,iOS,NS,XOne","Sandbox,Misc",9.4,
33214,fortnite,Fortnite,2017,"PC,NS,XOne,PS4","Shooter,Action",8.5,
32982,grand-theft-auto-v,Grand Theft Auto V,2013,"X360,PS4,PC,PS3,XOne","Action",9.7,9
29307,path-of-exile,Path of Exile,2013,"PC,PS4,XOne","Role-Playing",,
743,chess,Chess,1981,"PC,PS","Strategy",,
32399,counter-strike-global-offensive,Counter-Strike: Global Offensive,2012,"XBL,PC,PSN,OSX","Shooter",,
18122,world-of-warcraft,World of Warcraft,2004,"PC,OSX","MMO,Misc",9.2,8
30921,rocket-league,Rocket League,2015,"PS4,PC,NS,XOne","Sports",9.2,
29595,dota-2,Dota 2,2013,"Linux,PC,OSX","Strategy",,
511224,apex-legends,Apex Legends,2019,"PC,PS4,XOne","Shooter",,
498566,slots,Slots,1978,"2600","Misc",,
491487,dead-by-daylight,Dead by Daylight,2016,"XOne,PS4,PC,NS","Action",,
492546,star-wars-battlefront-ii,Star Wars Battlefront II,2005,"PS2,XB,PC,PSP","Shooter",8.5,
488552,overwatch,Overwatch,2016,"XOne,PS4,PC","Shooter",9.5,
490744,stardew-valley,Stardew Valley,2016,"PC,PS4,NS,XOne","Simulation",9.2,
493057,playerunknowns-battlegrounds,PLAYERUNKNOWN'S BATTLEGROUNDS,2017,"PC,PS4,XOne","Shooter",,
271304,7-days-to-die,7 Days to Die,2013,"PC,PS4,XOne","Action",,
497057,destiny-2,Destiny 2,2017,"PS4,PC,XOne","Shooter",,
490377,sea-of-thieves,Sea of Thieves,2018,"XOne,PC","Action-Adventure",6.9,
29433,dark-souls,Dark Souls,2011,"X360,PS3","Role-Playing",9.1,
27546,world-of-tanks,World of Tanks,2011,"PC,X360","Shooter,Misc",7.8,
32507,smite,SMITE,2014,"PC","Misc",,
494925,raft,Raft,2020,"PC","Action",,
65632,dayz,DayZ,2012,"PC","Misc",,
16282,super-smash-bros-melee,Super Smash Bros. Melee,2001,"GC","Fighting",9.2,
65654,the-elder-scrolls-online,The Elder Scrolls Online,2014,"PC,OSX","MMO",,
490292,dark-souls-iii,Dark Souls III,2016,"PC,PS4,XOne","Role-Playing",,
489635,ark-survival-evolved,ARK: Survival Evolved,2015,"PC,PS4,NS,XOne","Action,Action-Adventure",4,
510117,outlast-ii,Outlast II,,"PC,PS4,NS,XOne","Action",,
32959,heroes-of-the-storm,Heroes of the Storm,2017,"PC","Action",,
493959,red-dead-redemption-2,Red Dead Redemption 2,2018,"PS4,XOne","Action-Adventure",9.8,
2748,magic-the-gathering,Magic: The Gathering,1997,"PC,DC","Misc",,
68000,the-evil-within,The Evil Within,2014,"XOne,PS4,PS3,PC,X360","Misc,Action",7.9,
11557,the-legend-of-zelda-ocarina-of-time,The Legend of Zelda: Ocarina of Time,1998,"iQue,N64,VC","Adventure",9.9,10
24241,final-fantasy-xiv-online,FINAL FANTASY XIV Online,2010,"PC,PS3","MMO",5.3,
386821,black-desert-online,Black Desert Online,2016,"PC","MMO",,
17828,the-legend-of-zelda-twilight-princess,The Legend of Zelda: Twilight Princess,2006,"Wii,GC","Adventure",9.5,9.6
71375,star-citizen,Star Citizen,2015,"PC","Misc",,
504461,super-smash-bros-ultimate,Super Smash Bros. Ultimate,2018,"NS","Fighting",9.4,9.7
65876,cyberpunk-2077,Cyberpunk 2077,2019,"XOne,PS4,PC","Action-Adventure",,
29452,virtual-casino,Virtual Casino,1996,"SAT","Misc",,
23020,roblox,ROBLOX,,"PC,XOne","Misc",,
32502,world-of-warships,World of Warships,2015,"PC","Shooter",,
497385,dragon-ball-fighterz,Dragon Ball FighterZ,2018,"PS4,PC,NS,XOne","Fighting",9,
490812,punch-club,Punch Club,2007,"PC","Fighting",,
19976,maplestory,MapleStory,2005,"PC","Role-Playing",,
369252,the-sims-4,The Sims 4,2014,"XOne,OSX,PC,PS4","Simulation,Misc",7,
492553,sid-meiers-civilization-vi,Sid Meier's Civilization VI,2016,"PC,NS","Strategy",9.4,
75467,euro-truck-simulator-2,Euro Truck Simulator 2,2013,"PC","Simulation",8.5,
2692,super-mario-64,Super Mario 64,1996,"N64,VC,iQue","Platform",9.7,
495064,splatoon-2,Splatoon 2,2017,"NS","Shooter",8.2,
67584,europa-universalis-iv,Europa Universalis IV,2013,"PC,Linux,OSX","Strategy,Misc",,
369588,mario-kart-8,Mario Kart 8,2014,"WiiU","Racing",8.8,
490147,hollow-knight,Hollow Knight,2017,"PC,NS","Action-Adventure",,10
30028,the-elder-scrolls-v-skyrim,The Elder Scrolls V: Skyrim,2011,"PS3,PC,X360,NS","Role-Playing",9.3,9.1
23239,plants-vs-zombies,Plants vs. Zombies,2009,"DS,PS3,PSV,XBL,And,X360,DSi,PC","Misc,Strategy",9,
497467,monster-hunter-world,Monster Hunter: World,2018,"PS4,PC,XOne","Action",9.4,9
511399,super-mario-maker-2,Super Mario Maker 2,2019,"NS","Platform",,
7022,the-forest,The Forest,2014,"PC,PS4","Action,Misc",,
19554,iracing,iRacing,2008,"Mob","Misc",,
29056,knight-online,Knight Online,2006,"PC","Role-Playing",,
460636,bloodborne,Bloodborne,2015,"PS4","Role-Playing",8.2,
489738,60-seconds,60 Seconds!,2015,"PC,NS","Simulation",,
417969,halo-the-master-chief-collection,Halo: The Master Chief Collection,2007,"PC,XOne","Shooter",,
110758,the-legend-of-zelda-breath-of-the-wild,The Legend of Zelda: Breath of the Wild,2017,"WiiU,NS","Action-Adventure",9.9,10
499132,they-are-billions,They Are Billions,1993,"PC","Strategy",,
6521,grand-theft-auto-san-andreas,Grand Theft Auto: San Andreas,2004,"PS2,XB,XBL,And,PS3,PC,WinP,OSX","Action,Misc",9.5,
1229,super-mario-world,Super Mario World,1991,"VC,SNES","Platform",8.5,
460090,subnautica,Subnautica,2018,"PC,PS4,XOne","Adventure",,
504689,farming-simulator-19,Farming Simulator 19,2018,"PC,PS4,XOne","Simulation",,
510590,hades,Hades,,"PC","Action-Adventure",,
66366,war-thunder,War Thunder,2014,"PS4,PC,OSX","Action,Misc",,
91423,dark-souls-ii,Dark Souls II,2014,"PS3,PC,X360","Role-Playing",,
9435,the-legend-of-zelda-a-link-to-the-past,The Legend of Zelda: A Link to the Past,1992,"GBA,VC,SNES","Adventure",9.6,
510578,mortal-kombat-11,Mortal Kombat 11,2019,"XOne,PS4,PC,NS","Fighting",,
488615,street-fighter-v,Street Fighter V,2016,"PS4,PC","Fighting",,
65997,payday-2,PAYDAY 2,2013,"XOne,PS4,PS3,X360,PC,NS","Shooter",6.5,
496902,slay-the-spire,Slay the Spire,2019,"OSX,PC,NS,Linux","Strategy",,
29143,catherine,Catherine,2011,"PS3,X360","Puzzle",7.9,
459064,cuphead,Cuphead,2017,"PC,NS,XOne","Action,Platform",,
8645,resident-evil-2,Resident Evil 2,1998,"GC,XOne,N64,PC,PS4,DC,PSN,PS","Action,Action-Adventure",9.3,
19357,guild-wars-2,Guild Wars 2,2012,"PC","Role-Playing",,
31376,terraria,Terraria,2011,"X360,WiiU,PC,PS3,PSV,3DS,PS4,And,XOne","Action,Platform,Action-Adventure",8.8,
115977,the-witcher-3-wild-hunt,The Witcher 3: Wild Hunt,2015,"PC,PS4,XOne","Role-Playing",,
24799,yakuza-4,Yakuza 4,2011,"PS3,PS4","Adventure",7.7,
461067,tekken-7,Tekken 7,2015,"Arc,PS4,PC,XOne","Fighting",,
460316,brawlhalla,Brawlhalla,2018,"PC","Fighting",,
11282,final-fantasy-viii,Final Fantasy VIII,1999,"PC,PS,PSN","Role-Playing",9.4,
16676,team-fortress-2,Team Fortress 2,2007,"X360,PC,PS3","Shooter",9.2,
24193,left-4-dead-2,Left 4 Dead 2,2009,"X360,PC,OSX","Shooter,Misc",9,
506415,sekiro-shadows-die-twice,Sekiro: Shadows Die Twice,2019,"PS4,PC,XOne","Role-Playing",,
503446,star-wars-jedi-fallen-order,Star Wars Jedi: Fallen Order,,"PC,PS4,XOne","Misc",,
498638,anno-1800,Anno 1800,2019,"PC","Strategy",,
31339,project-zomboid,Project Zomboid,2020,"Linux,OSX,PC","Misc",,
66170,warframe,Warframe,,"NS,PC,PS4,XOne","Action,Misc",,
511396,tetris-99,TETRIS 99,2019,"NS","Puzzle",,
493217,gwent-the-witcher-card-game,Gwent: The Witcher Card Game,2018,"XOne,PS4,PC","Misc",,
34025,kenshi,Kenshi,1988,"PC","Role-Playing",,
29975,danganronpa-trigger-happy-havoc,Danganronpa: Trigger Happy Havoc,1970,"PSV,PC,PSP","Adventure",,
7193,microsoft-flight-simulator,Microsoft Flight Simulator,1996,"PC","Simulation",7,
499856,ghost-of-tsushima,Ghost of Tsushima,2019,"PS4","Action-Adventure",,
