id,basename,name,year,platform,genres,critic_score,user_score
263490,rust,Rust,2018,"OSX,Linux,PC","Action-Adventure",6.1,
21779,league-of-legends,League of Legends,2009,"OSX,PC","Strategy",8,
27471,minecraft,Minecraft,2010,"XOne,3DS,And,NS,X360,PS3,PC,PS4,PSV,WiiU","Misc,Sandbox",9.4,
33214,fortnite,Fortnite,2017,"XOne,NS,PS4,PC","Action,Shooter",8.5,
32982,grand-theft-auto-v,Grand Theft Auto V,2013,"XOne,X360,PS3,PS4,PC","Action",9.7,9
30921,rocket-league,Rocket League,2015,"XOne,NS,PS4,PC","Sports",9.2,
32399,counter-strike-global-offensive,Counter-Strike: Global Offensive,2012,"XBL,OSX,PSN,PC","Shooter",,
18122,world-of-warcraft,World of Warcraft,2004,"OSX,PC","Misc,MMO",9.2,8
29307,path-of-exile,Path of Exile,2013,"XOne,PC,PS4","Role-Playing",,
29595,dota-2,Dota 2,2013,"Linux,OSX,PC","Strategy",,
498566,slots,Slots,1978,"2600","Misc",,
491487,dead-by-daylight,Dead by Daylight,2016,"NS,XOne,PS4,PC","Action",,
511224,apex-legends,Apex Legends,2019,"PC,XOne,PS4","Shooter",,
743,chess,Chess,1981,"PS,PC","Strategy",,
490744,stardew-valley,Stardew Valley,2016,"XOne,NS,PC,PS4","Simulation",9.2,
488552,overwatch,Overwatch,2016,"XOne,PS4,PC","Shooter",9.5,
27546,world-of-tanks,World of Tanks,2011,"X360,PC","Misc,Shooter",7.8,
493057,playerunknowns-battlegrounds,PLAYERUNKNOWN'S BATTLEGROUNDS,2017,"PC,PS4,XOne","Shooter",,
2748,magic-the-gathering,Magic: The Gathering,1997,"DC,PC","Misc",,
497057,destiny-2,Destiny 2,2017,"XOne,PS4,PC","Shooter",,
460090,subnautica,Subnautica,2018,"PS4,XOne,PC","Adventure",,
65632,dayz,DayZ,2012,"PC","Misc",,
495764,golf-it,Golf It!,2017,"PC","Sports",,
494925,raft,Raft,2020,"PC","Action",,
19973,peggle,Peggle,2008,"PSN,PC,XBL","Puzzle",8.8,
490377,sea-of-thieves,Sea of Thieves,2018,"XOne,PC","Action-Adventure",6.9,
493125,my-summer-car,My Summer Car,2006,"PC","Simulation",,
32507,smite,SMITE,2014,"PC","Misc",,
118198,assassins-creed-iv-black-flag,Assassin's Creed IV: Black Flag,2013,"XOne,X360,PS3,PS4,PC,WiiU","Action-Adventure,Action",8.7,
492546,star-wars-battlefront-ii,Star Wars Battlefront II,2005,"PS2,XB,PSP,PC","Shooter",8.5,
493959,red-dead-redemption-2,Red Dead Redemption 2,2018,"XOne,PS4","Action-Adventure",9.8,
511399,super-mario-maker-2,Super Mario Maker 2,2019,"NS","Platform",,
386821,black-desert-online,Black Desert Online,2016,"PC","MMO",,
499003,vrchat,VRChat,2017,"PC","Simulation",,
489635,ark-survival-evolved,ARK: Survival Evolved,2015,"XOne,NS,PC,PS4","Action,Action-Adventure",4,
490147,hollow-knight,Hollow Knight,2017,"NS,PC","Action-Adventure",,10
2692,super-mario-64,Super Mario 64,1996,"iQue,VC,N64","Platform",9.7,
504461,super-smash-bros-ultimate,Super Smash Bros. Ultimate,2018,"NS","Fighting",9.4,9.7
32959,heroes-of-the-storm,Heroes of the Storm,2017,"PC","Action",,
497410,metro-exodus,Metro Exodus,2019,"XOne,PC,PS4","Shooter",8.5,
65876,cyberpunk-2077,Cyberpunk 2077,2019,"PC,PS4,XOne","Action-Adventure",,
502377,total-war-three-kingdoms,Total War: Three Kingdoms,2019,"PC","Strategy",,
24241,final-fantasy-xiv-online,FINAL FANTASY XIV Online,2010,"PS3,PC","MMO",5.3,
495856,northgard,Northgard,1998,"PC","Strategy",,
29433,dark-souls,Dark Souls,2011,"X360,PS3","Role-Playing",9.1,
16676,team-fortress-2,Team Fortress 2,2007,"X360,PS3,PC","Shooter",9.2,
29056,knight-online,Knight Online,2006,"PC","Role-Playing",,
32502,world-of-warships,World of Warships,2015,"PC","Shooter",,
510578,mortal-kombat-11,Mortal Kombat 11,2019,"PS4,NS,XOne,PC","Fighting",,
7022,the-forest,The Forest,2014,"PC,PS4","Action,Misc",,
369252,the-sims-4,The Sims 4,2014,"XOne,OSX,PC,PS4","Misc,Simulation",7,
490292,dark-souls-iii,Dark Souls III,2016,"PC,PS4,XOne","Role-Playing",,
494131,little-nightmares,Little Nightmares,2017,"XOne,NS,PS4,PC","Platform",8.6,
65654,the-elder-scrolls-online,The Elder Scrolls Online,2014,"OSX,PC","MMO",,
23020,roblox,ROBLOX,,"XOne,PC","Misc",,
497385,dragon-ball-fighterz,Dragon Ball FighterZ,2018,"XOne,NS,PS4,PC","Fighting",9,
504689,farming-simulator-19,Farming Simulator 19,2018,"XOne,PC,PS4","Simulation",,
510590,hades,Hades,,"PC","Action-Adventure",,
18846,garrys-mod,Garry's Mod,2004,"PC","Misc",,
506415,sekiro-shadows-die-twice,Sekiro: Shadows Die Twice,2019,"PC,XOne,PS4","Role-Playing",,
417969,halo-the-master-chief-collection,Halo: The Master Chief Collection,2007,"XOne,PC","Shooter",,
19554,iracing,iRacing,2008,"Mob","Misc",,
313558,diablo-iii,Diablo III,2012,"PC","Role-Playing",9,
29452,virtual-casino,Virtual Casino,1996,"SAT","Misc",,
1468,resident-evil-4,Resident Evil 4,2005,"PS4,Mob,PS3,S32X,XOne,PS2,GC,Wii,X360,PC","Action-Adventure,Misc,Action",9.6,9.3
499132,they-are-billions,They Are Billions,1993,"PC","Strategy",,
7352,space-quest-iv-roger-wilco-and-the-time-rippers,Space Quest IV: Roger Wilco And The Time Rippers,1991,"PC","Adventure",,
497434,total-war-warhammer-ii,Total War: Warhammer II,2017,"PC","Strategy",,
30028,the-elder-scrolls-v-skyrim,The Elder Scrolls V: Skyrim,2011,"PS3,NS,X360,PC","Role-Playing",9.3,9.1
271304,7-days-to-die,7 Days to Die,2013,"XOne,PC,PS4","Action",,
497467,monster-hunter-world,Monster Hunter: World,2018,"PC,XOne,PS4","Action",9.4,9
493997,super-mario-odyssey,Super Mario Odyssey,2017,"NS","Platform",9.9,
27924,assassins-creed-brotherhood,Assassin's Creed: Brotherhood,2010,"PSN,PC,PS3,X360","Action",9.1,
67648,nfl-football,NFL Football,1980,"GB,NES,SNES,Int,Lynx","Sports",,
75467,euro-truck-simulator-2,Euro Truck Simulator 2,2013,"PC","Simulation",8.5,
369588,mario-kart-8,Mario Kart 8,2014,"WiiU","Racing",8.8,
110758,the-legend-of-zelda-breath-of-the-wild,The Legend of Zelda: Breath of the Wild,2017,"NS,WiiU","Action-Adventure",9.9,10
490644,divinity-original-sin-ii,Divinity: Original Sin II,2018,"PS4,XOne","Role-Playing",,
7193,microsoft-flight-simulator,Microsoft Flight Simulator,1996,"PC","Simulation",7,
8224,trackmania,TrackMania,2004,"PC","Racing",7,
16282,super-smash-bros-melee,Super Smash Bros. Melee,2001,"GC","Fighting",9.2,
495064,splatoon-2,Splatoon 2,2017,"NS","Shooter",8.2,
1229,super-mario-world,Super Mario World,1991,"SNES,VC","Platform",8.5,
3475,the-movies,The Movies,2005,"PC","Simulation",8.2,
71375,star-citizen,Star Citizen,2015,"PC","Misc",,
67584,europa-universalis-iv,Europa Universalis IV,2013,"Linux,OSX,PC","Strategy,Misc",,
19357,guild-wars-2,Guild Wars 2,2012,"PC","Role-Playing",,
461067,tekken-7,Tekken 7,2015,"XOne,Arc,PS4,PC","Fighting",,
66170,warframe,Warframe,,"PS4,PC,NS,XOne","Misc,Action",,
497480,detroit-become-human,Detroit: Become Human,,"PS4,PC","Adventure",8,
